"","name","variable","Nigeria","Congo","Georgia","Paraguay","Algeria","Bangladesh","CAR","Chad","DRC","Guinea Bissau","Gambia","Ghana","Iraq","Kiribati","Kosovo","LaoPDR","Lesotho","Madagascar","Mongolia","Nepal","PakistanPunjab","Sao Tome and Principe","SierraLeone","Suriname","Tonga","Togo","Tunisia","Zimbabwe"
"1","EU1","type of stove",NA,"Type de cuisinière utilisé principalement pour faire le ménage","Type of cookstove mainly used for cooking",NA,"Dans votre ménage, quel type de cuisinière utilisez-vous principalement pour faire la cuisine?","Type of cookstove mainly used for cooking","Type de cuisinière principalement utilisée pour le cuisson","Type de cuisinière principale","Type de cuisinière utilisé principalement pour faire le ménage","Que tipo de fogão utilizam no vosso AF principalmente para cozinhar?","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking",NA,"Type de cuisinière principale","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Tipo de fogão usado principalmente para cozinhar","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking","Type de cuisinière principale","Type of cookstove mainly used for cooking","Type of cookstove mainly used for cooking"
"2","EU2","Cookstove have a chimney",NA,NA,"Cookstove have a chimney",NA,"Est-ce qu'elle a une cheminée","Cookstove have a chimney","La cuisine a une cheminée","Cuisinière a une cheminée",NA,"A cozinha dispõem de uma chaminé?","Cookstove have a chimney","Cookstove have a chimney","Cookstove have a chimney","Cookstove have a chimney","Cookstove has a chimney","Cookstove have a chimney",NA,"Cuisinière a une cheminée",NA,"Cookstove have a chimney","Cookstove have a chimney","Tem uma chaminé","Cookstove have a chimney","Cookstove have a chimney","Cookstove have a chimney","Cuisinière a une cheminée","Cookstove have a chimney","Cookstove have a chimney"
"3","EU3","Cookstove have a fan",NA,"La cuisinière a un ventilateur",NA,NA,"Est-ce qu'il y a un ventilateur","Cookstove have a fan","La cuisine a un ventilateur","Cuisinière a un ventilateur","La cuisinière a un ventilateur","A cozinha dispõe de um ventilador?","Cookstove have a fan","Cookstove have a fan","Cookstove have a fan","Cookstove have a fan","Cookstove has a fan","Cookstove have a fan",NA,"Cuisinière a un ventilateur",NA,"Cookstove have a fan","Cookstove have a fan","Tem um ventilador/Exaustor","Cookstove have a fan","Cookstove have a fan","Cookstove have a fan","Cuisinière a un ventilateur","Cookstove have a fan","Cookstove have a fan"
"4","EU4","Type of energy source for cookstove","Type of fuel using for cooking","Type d'énergie utilisée pour la cuisinière","Type of energy source for cookstove","Tipo de combustible utilizado principalmente en su hogar para cocinar","Quel type de carburant ou énergie est utilisé dans cette cuisinière","Type of energy source for cookstove","Type de combustible ou de source d’énergie pour la cuisson","Source d'énergie de la cuisinière","Type d'énergie utilisée pour la cuisinière","Que tipo de combustível ou fonte de energia e utilizado nesta cozinha?","Type of energy source for cookstove","Type of energy source for cookstove","Type of energy source for cookstove","Type of energy source for cookstove","Type of energy source for cookstove","Type of energy source for cookstove",NA,"Source d'énergie de la cuisinière","Type of energy source for cookstove","Type of energy source for cookstove","Type of energy source for cookstove","Tipo de fonte de energia para o fogão","Type of energy source for cookstove","Type of energy source for cookstove","Type of energy source for cookstove","Source d'énergie de la cuisinière","Type of energy source for cookstove","Type of energy source for cookstove"
"5","HC17","Household own any animals",NA,"Le ménage possède-t-il des du bétail,des troupeaux et d'autres animaux de ferme ou de la volaille","Household own any animals",NA,"Est-ce que ce ménage posséde du bétail, des troupeaux, d'autres animaux de ferme ou de la volaille","Household own any animals","Le ménage possède des animaux","Le ménage a des animaux","Le ménage possède-t-il des du bétail,des troupeaux et d'autres animaux de ferme ou de la volaille","Este agregado possui gado bovino, caprino ou outros animais e aves","Household own any animals","Household own any animals","Household own any animals","Household own any animals","Household own any animals","Household own any animals","Household own any animals","Le ménage a des animaux","Household own any animals","Household own any animals","Household own any animals","Agregado possui aminais","Household own any animals","Household own any animals","Household own any animals","Le ménage a des animaux","Household own any animals","Household own any animals or poultry"
"6","HC4","Main material of floor","Main material of floor","Matériau principal du sol du logement","Main material of floor","Material predominante del piso de la vivienda","Matériau principal du sol","Main material of floor","Matériau principal du sol","Matériau principal du sol","Matériau principal du sol du logement","Qual é o material predominante no piso/chão do alojamento?","Main material of floor","Main material of floor","Main material of floor","Main material of floor","Main material of floor","Main material of floor","Main material of floor","Matériau principal du sol","Main material of floor","Main material of floor","Main material of floor","Material principal do chão","Main material of floor","Main material of floor","Main material of floor","Matériau principal du sol","Main material of floor","Main material of floor"
"7","HC5","Main material of roof","Main material of roof","Matériau principal du toit","Main material of roof","Material principal del techo","Matériau principal du toit","Main material of roof","Matériau principal du toit","Matériau principal du toit","Matériau principal du toit","Material predominante na cobertura do alojamento?","Main material of roof","Main material of roof","Main material of roof","Main material of roof","Main material of roof","Main material of roof","Main material of roof","Matériau principal du toit","Main material of roof","Main material of roof","Main material of roof","Material principal do telhado","Main material of roof","Main material of roof","Main material of roof","Matériau principal du toit","Main material of roof","Main material of roof"
"8","HC6","Main material of exterior wall","Main material of exterior wall","Matériau principal des murs extérieurs","Main material of exterior wall","Material principal de las paredes exteriores","Matériau principal des murs extérieurs","Main material of exterior wall","Matériau principal des murs extérieurs","Matériau principal des murs extérieurs","Matériau principal des murs extérieurs","Material predominante nas paredes externas.","Main material of exterior wall","Main material of exterior wall","Main material of exterior wall","Main material of exterior wall","Main material of exterior wall","Main material of exterior wall","Main material of exterior wall","Matériau principal des murs extérieurs","Main material of exterior wall","Main material of exterior wall","Main material of exterior wall","Material principal da parede exterior","Main material of exterior wall","Main material of exterior wall","Main material of exterior wall","Matériau principal des murs extérieurs","Main material of exterior wall","Main material of exterior wall"
"9","HW1","Place where household members most often wash their hands","Place where household members most often wash their hands","L'endroit où les membres du ménage se lavent habituellement les mains","Place where household members most often wash their hands","Puede mostrarme qué lugar usan con mayor frecuencia los miembros del hogar para lavarse las manos?","Nous aimerions savoir où les membres de ce ménage se lavent les mains.","Place where household members most often wash their hands","Lieu où les membres du ménage se lavent les mains la plupart du temps","Lieu où les membres du ménage se lavent les mains la plupart du temps","L'endroit où les membres du ménage se lavent habituellement les mains","Gostaríamos de saber onde os membros deste AF lavam as mãos.","Place where household members most often wash their hands","Place where household members most often wash their hands","Place where household members most often wash their hands","Place where household members most often wash their hands",NA,"Place where household members most often wash their hands","Place where household members most often wash their hands","Lieu où les membres du ménage se lavent les mains la plupart du temps","Place where household members most often wash their hands","Place where household members most often wash their hands","Place where household members most often wash their hands","Lugar onde os membros da casa costumam lavar as mãos","Place where household members most often wash their hands","Place where household members most often wash their hands","Place where household members most often wash their hands","Lieu où les membres du ménage se lavent les mains la plupart du temps","Place where household members most often wash their hands","Place where household members most often wash their hands"
"10","HW2","Water available at the place for handwashing","Water available at the place for handwashing","Présence d'eau au lieu de lavage des mains","Water available at the place for handwashing","Observe si hay agua en el lugar especifico para el lavado de manos","Observer la présence d'eau au lieu de lavage des mains","Water available at the place for handwashing","L'eau disponible au lieu spécifique de lavage des mains","De l'eau a été vue au lieu spécifique de lavage des mains","Présence d'eau au lieu de lavage des mains","Observar se existe a água no local específico para a lavagem das mãos","Water available at the place for handwashing","Water available at the place for handwashing","Water available at the place for handwashing","Water available at the place for handwashing",NA,"Water available at the place for handwashing","Water available at the place for handwashing","De l'eau a été vue au lieu spécifique de lavage des mains","Water available at the place for handwashing","Water available at the place for handwashing","Water available at the place for handwashing","Água disponível no local para lavar as mãos","Water available at the place for handwashing","Water available at the place for handwashing","Water available at the place for handwashing","De l'eau a été vue au lieu spécifique de lavage des mains","Water available at the place for handwashing","Water available at the place for handwashing"
